id,empresa,cnpj,cidade,estado,distancia_km_aracatuba,categoria,subcategoria,produto_provavel,produto_secundario,justificativa_produto,potencial,multiproduto,multioportunidade,consumo_estimado,compra_recorrente,tipo_operacao,o_que_fabrica_constroi,obras_atuais,fornecedor_atual,comprador,cargo_comprador,telefone,whatsapp,email,site,endereco,fonte,data_pesquisa,ultimo_contato,status,proximo_contato,ultima_compra,situacao,proxima_acao,necessidade_identificada,motivo_prospect,abordagem,observacoes_comerciais
ARA-011,Obra — Residencial Campo Belo (Pacaembu),N/A — obra,Araçatuba,SP,0,C,C4,CA-50; Treliças; Telas,Arame recozido,"FATO: 771 casas MCMV, investimento ~R$ 146 mi; fundações e lajes consomem armadura em série.",Alto,Não,Sim,Alto,Sim (durante obra),Canteiro habitacional,771 casas,Campo Belo — entre Umuarama e Pinheiros,Não identificado — investigar no canteiro,Não identificado — engenheiro/mestre ou CD fornecedora,Não identificado,Não identificado (via Pacaembu),Não identificado,Não identificado,https://www.aracatuba.sp.gov.br/noticias/araatuba-recebe-novo-residencial-com-771-casas-e-investimento-de-rs-146-milhes,Área entre bairros Umuarama e Pinheiros — Araçatuba/SP,Prefeitura Municipal de Araçatuba,08/09/2026,,Sem retorno,,,Qualificado,Visita presencial ao canteiro: fotografar placas de fornecedores; falar com mestre de obras,Quem está fornecendo o aço dessa obra?,Obra de alto volume — cliente oculto (CD) pode ser mais valioso que a construtora,"Investigação de canteiro, não pitch de catálogo.",Registro de obra para inteligência comercial; vincular a Pacaembu + CD descoberta.
ARA-012,Obra — Brasília Square by Tarraf,N/A — obra,Araçatuba,SP,0,C,C11,CA-50; Treliças; Telas,Possível telha/fechamentos em fases posteriores — Provável — validar,FATO: mixed-use VGV ~R$ 230 mi; studios + salas comerciais; estrutura de edifício exige armadura significativa.,Alto,Provável — validar,Sim,Alto,Sim (durante obra),Canteiro mixed-use,"Studios, salas comerciais, uso misto","Brasília Square — Av. Brasília, 2090 — Jardim Nova Yorque (lançamento/previsão 2026)",Não identificado,Não identificado,Não identificado,Via TARRAF (17) 4004-6655,Não identificado,contato@tarraf.com.br,https://tarraf.com.br/,"Avenida Brasília, 2090 — Jardim Nova Yorque — Araçatuba/SP",lr1.com.br; aracatubafacts.com.br,08/09/2026,,Sem retorno,,,Qualificado,Monitorar início de estrutura; visitar canteiro quando houver armação,Fornecedor de aço da obra (a descobrir),Maior lançamento TARRAF na cidade; timing de compra de aço a acompanhar,Acompanhar estágio; atacar na fase de fundação/estrutura.,Pode ainda estar em fase pré-obra; validar status real no local.
ARA-013,Obra — Vida Nova Araçatuba Fase 3 (Pacaembu),N/A — obra,Araçatuba,SP,0,C,C4,CA-50; Treliças,Telas; Arame,FATO: status 'Em Obras' no site Pacaembu; casas de interesse social.,Alto,Não,Sim,Alto,Sim,Canteiro habitacional,Casas interesse social — Fase 3,Em Obras — Vida Nova Araçatuba 3,Não identificado,Não identificado,Não identificado,Via Pacaembu 0800 730 2020,Não identificado,atendimento@pacaembu.com,https://pacaembu.com/imoveis-residenciais/vida-nova-aracatuba-fase-3,"Rua Duque de Caxias, nº 330 — Centro — Araçatuba/SP",pacaembu.com,08/09/2026,,Sem retorno,,,Qualificado,Visita canteiro esta semana — mapear fornecedor de aço,Armadura em andamento,"Obra já em execução = consumo atual, não futuro",Canteiro primeiro; depois CD/suprimentos.,Melhor timing entre as obras Pacaembu (já em obras).
ARA-014,ZBN Indústria Mecânica,64.822.810/0001-06 (e filiais),Araçatuba,SP,0,M,M1,Chapa quente; Bobina laminada a quente,Chapa inox / Bobina inox 304; Barras; Perfis,FATO: caldeiraria pesada + fundição + oxicorte CNC em chapas de grande porte; trabalha aço carbono e inox; parque 20.000 m²; pontes >50 t. Fluxo: chapa/bobina → oxicorte/caldeiraria → equipamentos industriais.,Alto,Sim,Sim,Alto,Sim,"Fundição, usinagem, caldeiraria, montagem industrial","Peças e equipamentos para sucroalcooleiro, mineração, alimentício, químico, energia",N/A — produção contínua sob encomenda,Não identificado,Não identificado,Provável — compras industriais / PCP; validar,Não identificado no site (formulário),Não identificado,Não identificado no site,https://pcp.zbn.com.br/,"Rua Prof. Rubens Rego Fontão, 372/392 — Parque Industrial — CEP 16075-245 — Araçatuba/SP",pcp.zbn.com.br; mapaindustrial.com.br,08/09/2026,,Sem retorno,,,Qualificado,Visita presencial à fábrica; falar com compras: espessuras de chapa carbono e inox,Chapas carbono grossas + inox para caldeiraria,Maior transformador metal-mecânico local identificado; multiproduto; consumo recorrente,Abrir com chapa quente/oxicorte (necessidade óbvia). Segundo passo: inox 304. Levar tabela de espessuras.,"⭐ MULTIPRODUTO + MULTIOPORTUNIDADE (M + I). Capital social ~R$ 6,7 mi nas bases. Alvo âncora do funil M."
ARA-015,Passador & Cia Ltda.,Não identificado,Andradina,SP,100,M,M1,Chapa quente; Bobina laminada a quente,Chapa inox 304/316; Tubo industrial; Galvanizado (quando aplicável),FATO: caldeiraria pesada 50+ anos; plasma/oxicorte/laser; dobra; solda carbono/inox/alumínio; tanques; tubulações; galvanização a fogo própria; atende usinas. Fluxo: chapa → corte/dobra/caldeiraria → tanques/estruturas/tubulações.,Alto,Sim,Sim,Alto,Sim,Caldeiraria pesada industrial,"Tanques, dutos, estruturas, tubulações, steel deck, insertos, guarda-corpo",Atende usinas (incl. região Andradina/Raízen),Não identificado,Não identificado,Provável — compras; validar,(18) 3722-3636,Não identificado,Não identificado,https://passador.ind.br/,"Av. Guanabara, 2419 — Stella Maris — Andradina/SP — CEP 16901-100",passador.ind.br,08/09/2026,,Sem retorno,,,Qualificado,Ligar + visita Andradina combinada com JBS/Raízen Gasa,Chapas carbono e inox para caldeiraria e usinas,Grande transformador com multiproduto e vínculo com sucroalcooleiro,Foco chapa quente espessas + inox. Mencionar capacidade de fornecimento para projetos de usina.,⭐ MULTIPRODUTO. Distância ~100 km — justificar com volume.
ARA-016,Megatec Implementos Agrícolas,Não identificado,Araçatuba,SP,0,M,M14,Chapa quente; Chapa fria,Tubo industrial; Metalon; Perfis U; Barra chata; Bobina,"FATO: fabrica implementos agrícolas (transbordos, carrocerias canavieiras) com verticalização interna da estrutura. Fluxo: chapa/tubo/perfil → soldagem/estrutura → implemento.",Alto,Sim,Não,Alto,Sim,Fabricação de implementos agrícolas,"Transbordos, implementos sucroalcooleiros e para grãos",N/A — linha de produção,Não identificado,Não identificado,Provável — compras; validar,(18) 2103-2021,Não identificado,contato@megatecindustria.com.br / atendimento@megatecindustria.com.br,https://www.megatecindustria.com.br/,"Rodovia Marechal Rondon, KM 527 — Araçatuba/SP — CEP 16018-805",megatecindustria.com.br; LinkedIn megatec.industria,08/09/2026,,Sem retorno,,,Qualificado,E-mail + visita: mapear espessuras de chapa e bitolas de tubo/metalon,Aço estrutural contínuo para implementos,Transformador verticalizado; vários grupos do catálogo; recorrência industrial,Abrir com chapa + metalon/tubo (kit implemento). Oferecer programação de fornecimento.,⭐ MULTIPRODUTO. Vizinha da Nestlé na Rondon — rota industrial.
ARA-017,Estruturas Metálicas Saita,48.431.803/0001-27,Birigui,SP,20,M,M2,Perfis U; Metalon; Tubo industrial,Chapa quente; Telha trapezoidal/ondulada; Cantoneiras; Barra chata,FATO: fabricação própria de estruturas metálicas desde 1979; galpões industriais e agrícolas; montagem completa. Fluxo: perfil/tubo/chapa → estrutura → galpão.,Alto,Sim,Não,Alto,Sim,Fabricação e montagem de estruturas metálicas,"Galpões industriais, comerciais, armazéns agrícolas",Não identificado (produção sob demanda),Não identificado,Não identificado,Não identificado,(18) 3642-3611,(18) 99639-7794,Não identificado,https://estruturametalicasaita.com.br/,"Rua Dr. Luiz de T. P. Sobrinho, 382 — Resid. Alvorada — Birigui/SP — CEP 16204-296",estruturametalicasaita.com.br,08/09/2026,,Sem retorno,,,Qualificado,WhatsApp: oferta perfis + metalon + telhas; visita com Serv Aço no mesmo dia,Perfis estruturais e coberturas para galpões,Fabricante de estruturas com 45+ anos; consumo de múltiplas linhas,Kit galpão: perfis U + metalon + telha trapezoidal/cumeeiras.,⭐ MULTIPRODUTO. Excelente aderência a coberturas do catálogo.
ARA-018,André Ferro e Aço,Não identificado,Araçatuba,SP,0,R,R5,Bobina / Chapa (para revenda e corte),Tubos; Metalon; Perfis U; Barras; Cantoneiras,"FATO: distribui ferro e aço desde 2015; corte a laser, oxicorte, corte e dobra de chapas; vende chapas 1,20–100 mm, tubos, laminados, perfis. NÃO listou vergalhão CA — classificar como centro de serviço/distribuição, não CD de armadura.",Alto,Sim,Não,Alto,Sim,Distribuição + centro de serviço (corte laser/oxicorte/dobra de chapa),"Corta/dobra chapas; revende tubos, perfis, laminados",N/A,Não identificado,Não identificado,Não identificado,(18) 3623-1770,(18) 3623-1770,vendas@andreferroeaco.com.br,https://andreferroeaco.com.br/,"Rua Dr. Francisco Vilela, 825 — Umuarama — Araçatuba/SP — CEP 16013-240",andreferroeaco.com.br,08/09/2026,,Sem retorno,,,Qualificado,Avaliar se há linha em que possam comprar (atacado) sem conflito; senão manter fora da rota,Compra de bobina/chapa para revenda — possível cliente atacado,"Portfólio sobreposto (chapas, tubos, perfis, barras) + serviço de corte",Abordar com foco em venda atacado para centro de serviço.,Pode gerar indicação de clientes finais. Não confundir corte de chapa com CD de vergalhão.
ARA-019,Serralheria 5 Estrelas,Não identificado,Araçatuba,SP,0,M,M6,Perfis / Barras / Kits para portas de enrolar — VALIDAR NO CATÁLOGO itens exatos,"Metalon; Tubo 5""; Chapa; Barra chata","FATO: desde 1994 fabrica portas de enrolar automáticas/manuais, portões basculantes e estruturas. Fluxo: perfil/barra/chapa → porta/portão.",Alto,Sim,Não,Médio,Sim,Serralheria industrial/comercial — portas e portões,"Portas de enrolar, portões, escadas, grades, estruturas",Não identificado,Não identificado,Não identificado,Não identificado,(18) 99746-6694,(18) 99746-6694,Não identificado (site tem formulário),https://www.serralheria5estrelas.com.br/,"Av. Odorindo Perenha, 892 — Umuarama — Araçatuba/SP — CEP 16013-230",serralheria5estrelas.com.br,08/09/2026,,Sem retorno,,,Qualificado,"WhatsApp: ofertar linha portas de enrolar (perfis, barras, kits, tubo 5"")",Matéria-prima para portas de enrolar e portões,Aderência direta à linha Portas de Enrolar do catálogo,Abrir com kit porta de enrolar. Segundo produto: metalon para portões.,⭐ MULTIPRODUTO na linha de portas/portões. Vizinha da Estruturas Metálicas Araçatuba.
ARA-020,Fenasi Indústria e Comércio de Artefatos de Aço,51.093.318/0001-03,Araçatuba,SP,0,M,M2,Metalon; Perfis U; Tubo industrial,Chapa; Telha; Cantoneiras,"FATO: desde 1977/1979 fabrica estruturas metálicas, mezaninos, portões; CNAE serralheria e montagem de estruturas.",Médio,Sim,Não,Médio,Provável — validar,Estruturas metálicas e serralheria,"Estruturas, mezaninos, portões, coberturas",Não identificado,Não identificado,Não identificado,Não identificado,(18) 3623-4692,Não identificado,emodelo@ig.com.br,Não identificado,"Rua América do Sul, 1077 — Jardim Brasília — Araçatuba/SP — CEP 16025-600",listamais.com.br; diariocidade.com; guiadocnpj,08/09/2026,,Sem retorno,,,Qualificado,Ligar: volume mensal de metalon/perfis,Aço para estruturas e serralheria,Transformador estabelecido há décadas; consumo de perfis/tubos,Oferta metalon + perfis U + chapa.,E-mail parece antigo — preferir telefone.
ARA-021,Estruturas Metálicas Araçatuba,12.671.264/0001-56,Araçatuba,SP,0,M,M2,Metalon; Perfis U; Tubo,Chapa; Cantoneiras,FATO: CNAE fabricação de estruturas metálicas; EPP ativa.,Médio,Não,Não,Médio,Provável — validar,Fabricação de estruturas metálicas,Estruturas metálicas,Não identificado,Não identificado,Não identificado (sócios públicos: Rogerio Augusto Massarente; Gabriely Guimaraes Pedroso),Provável — sócio/compras; validar,Não identificado,Não identificado,Não identificado,Não identificado,"Av. Odorindo Perenha, 880 — Umuarama — Araçatuba/SP — CEP 16013-230",mestregeo.com.br,08/09/2026,,Sem retorno,,,Qualificado,Buscar telefone no Maps e visitar (mesma rua da 5 Estrelas),Provável metalon/perfis,Fabricante local de estruturas; endereço no polo Umuarama,Visita a frio no cluster Umuarama (Odorindo Perenha).,Porte pequeno/EPP — potencial Médio.
ARA-022,Pratesfer Estruturas Metálicas e Serralheria,Não identificado,Araçatuba,SP,0,M,M5,Metalon; Tubo; Chapa,Perfis; Barras,FATO: listada como estruturas metálicas e serralheria em Araçatuba.,Baixo,Não,Não,Baixo,Desconhecido,Serralheria / estruturas,Estruturas e serviços de serralheria,Não identificado,Não identificado,Não identificado,Não identificado,(18) 3301-6191,Não identificado,Não identificado,Não identificado,"Rua Joaquim Murtinho, 55 — São Joaquim / Vila Estádio — Araçatuba/SP",serralherias.net,08/09/2026,,Sem retorno,,,Qualificado,Ligar apenas após esgotar leads A,Provável metalon/chapa em baixo volume,Serralheria local — volume provavelmente baixo,Qualificar volume antes de visitar.,Prioridade C.
ARA-023,Noroagro Truck Center,Não identificado,Araçatuba,SP,0,M,M14,Chapa; Tubo; Metalon — Provável — validar,Barra chata; Perfis,FATO: manutenção/reforma/adaptação de implementos agrícolas e industriais; alongamento de chassi; reformas de baú/canavieira/transbordo. Consome aço em reformas (menor que fabricante OEM).,Médio,Sim,Não,Médio,Provável — validar,Reforma e adaptação de implementos,Reformas de implementos agrícolas/rodoviários,N/A,Não identificado,Não identificado,Não identificado,(18) 3623-9049,Não identificado,Não identificado,https://noroagro.com.br/,"Araçatuba/SP (matriz); filiais Andradina, Lins, Barra do Garças",noroagro.com.br,08/09/2026,,Sem retorno,,,Qualificado,Ligar: mapear compra de chapa/tubo para reformas,Aço para reformas de implementos,Consumo recorrente em reformas; rede regional,Oferta chapa + tubo com entrega rápida (urgencia de oficina).,Volume tende a ser menor que Megatec (OEM).
ARA-024,Ata Inox / Atainox,Não identificado,Araçatuba,SP,0,I,I4,Chapa inox 304; Bobina inox,Inox 430; Acabamentos 2B/N4; Tiras; Blanks; Filmes,"FATO: fabrica equipamentos e peças em aço inox para frigoríficos, restaurantes, supermercados. Fluxo: chapa/bobina inox → equipamento. Liga típica alimentícia: 304 (Provável — validar).",Alto,Sim,Não,Médio,Sim,Fabricação de equipamentos em inox,Equipamentos e peças de aço inox,N/A,Não identificado,Não identificado,Não identificado,(18) 3625-8730 / (18) 99736-1893,(18) 99736-1893,atainox@atainox.com / ccontato@atainox.com,https://atainox.com/,"Rua América do Sul, 1022 — Jardim Brasília — Araçatuba/SP — CEP 16025-600",atainox.com; listagens locais,08/09/2026,,Sem retorno,,,Qualificado,"WhatsApp: perguntar ligas (304/430), espessuras e formato (chapa/bobina/blank)",Inox para fabricação de equipamentos,Comprador direto de inox com transformação; aderência total ao catálogo inox,Abrir com 304 2B + filme. Segundo: 430 e N4 escovado. Levar amostras de acabamento se possível.,⭐ MULTIPRODUTO (linhas inox). Alvo âncora do funil I.
ARA-025,AISI Indústria e Comércio de Equipamentos em Aço Inox,32.914.253/0001-67,Araçatuba,SP,0,I,I4,Chapa inox 304,Inox 430; Tiras; Blanks,FATO: razão social e CNAEs de usinagem/solda e esquadrias; foco equipamentos em aço inox.,Médio,Sim,Não,Médio,Provável — validar,"Usinagem, solda e equipamentos inox",Equipamentos e serviços em aço inox,N/A,Não identificado,Não identificado,Não identificado,Não identificado,Não identificado,Não identificado,Não identificado,Vila Industrial — Araçatuba/SP — CEP 16072-100,databrasil.net CNPJ 32.914.253/0001-67,08/09/2026,,Sem retorno,,,Qualificado,Localizar telefone Maps; visitar cluster Vila Industrial com Inox e Cia,Inox para fabricação/solda,Fabricante local de equipamentos inox,Qualificar ligas e consumo mensal.,Fundada 2019 — porte a validar.
